time,T,Qr,vetot
0,20.0,0.0,0.0
3600,19.917228411739018,0.0,0.0
7200,19.84056276247196,0.0,0.0
10800,19.843995449876957,0.0,0.0
14400,19.84542574067399,0.0,0.0
18000,19.88315351792403,0.0,0.0
21600,20.338405568239864,0.0,0.0
25200,20.931296555978577,0.0,0.0
28800,21.0,0.0,0.0
32400,21.14600042069179,0.0,0.0
36000,21.286029087264183,0.0,0.0
39600,21.313534499013144,0.0,0.0
43200,21.35201934609904,0.0,0.0
46800,21.373892250527547,0.0,0.0
50400,21.337226575804607,0.0,0.0
54000,21.254878471174436,0.0,0.0
57600,21.164675454731025,0.0,0.0
61200,21.092196182623923,0.0,0.0
64800,20.99905664226486,0.0,0.0
68400,20.905648005163812,0.0,0.0
72000,20.823702627043474,0.0,0.0
75600,20.73278256472588,0.0,0.0
79200,20.628130420544778,0.0,0.0
82800,20.524106516182542,0.0,0.0
86400,20.423519308328366,0.0,0.0
90000,20.31447189108144,0.0,0.0
93600,20.20610087885734,0.0,0.0
97200,20.157234465246916,0.0,0.0
100800,20.134108194885755,0.0,0.0
104400,20.109579126933113,0.0,0.0
108000,20.06885713480807,0.0,0.0
111600,20.198266475082562,0.0,0.0
115200,20.84596540260827,0.0,0.0
118800,21.345350345320867,0.0,0.0
122400,21.88942424772506,0.0,0.0
126000,22.36456246608151,0.0,0.0
129600,22.450746165116698,0.0,0.0
133200,22.47001406376677,0.0,0.0
136800,22.44909752039848,0.0,0.0
140400,22.343717921333393,0.0,0.0
144000,22.319605819627384,0.0,0.0
147600,22.30912302192047,0.0,0.0
151200,22.23084381699948,0.0,0.0
154800,22.143326405266862,0.0,0.0
158400,22.045604792085953,0.0,0.0
162000,21.945664045652336,0.0,0.0
165600,21.843537782530802,0.0,0.0
169200,21.742079063498238,0.0,0.0
172800,21.645687608500054,0.0,0.0
176400,21.542656071869374,0.0,0.0
180000,21.437332180120734,0.0,0.0
183600,21.329478394307557,0.0,0.0
187200,21.22130565514169,0.0,0.0
190800,21.082124897067956,0.0,0.0
194400,20.906018257452445,0.0,0.0
198000,20.73497137688662,0.0,0.0
201600,20.592307688851065,0.0,0.0
205200,21.219926044376393,0.0,0.0
208800,22.044649240673095,0.0,0.0
212400,22.84512719337681,0.0,0.0
216000,23.613903263424277,0.0,0.0
219600,24.34739588736386,0.0,0.0
223200,24.300366802636688,0.0,0.0
226800,24.183439056092084,0.0,0.0
230400,24.000555390331613,0.0,0.0
234000,24.01176557074666,0.0,0.0
237600,23.953877464025084,0.0,0.0
241200,23.87256790285494,0.0,0.0
244800,23.785237388868268,-2085.007907464355,0.0
248400,23.683982386598814,-3154.596228704607,0.0
252000,23.58020817516092,-1630.9310589162603,0.0
255600,23.47803594215685,1321.5027430903415,0.0
259200,23.36688158266537,2684.4262174345763,0.0
