time,cair.T
0,293.15
3600,293.12902867625877
7200,293.1172145278495
10800,293.10393717942907
14400,293.09657177943905
18000,293.1513612664601
21600,293.68610291167306
25200,294.30640092017495
28800,294.2902358260617
32400,294.4583414919249
36000,294.58822669740533
39600,294.6070104293439
43200,294.6372938984382
46800,294.64238998254
50400,294.5839249001995
54000,294.47798305417706
57600,294.3678173786822
61200,294.27016656859024
64800,294.1503938449729
68400,294.03045125025056
72000,293.92126938796514
75600,293.8028773097863
79200,293.6707274309092
82800,293.5647119845196
86400,293.46139587859136
90000,293.34984622047887
93600,293.2396971560412
97200,293.1320046640472
100800,293.0539497550566
104400,292.97948395237
108000,292.94803558684885
111600,293.20019919732295
115200,294.1044439676464
118800,294.7459787367616
122400,295.3817697291654
126000,295.85007603870844
129600,295.93388885157566
133200,295.9512655100442
136800,295.92846477833655
140400,295.82121537176283
144000,295.7399973962649
147600,295.71018978842557
151200,295.60940983209946
154800,295.49676173837946
158400,295.37318296733014
162000,295.24657938393574
165600,295.1177136576569
169200,294.9898969666806
172800,294.8315928010843
176400,294.6387465926397
180000,294.4408989324382
183600,294.23736625063606
187200,294.03161633425583
190800,293.8276635770251
194400,293.6451465749233
198000,293.5733586353031
201600,293.7467444514507
205200,294.4419966087691
208800,295.26436230034136
212400,296.06262628227165
216000,296.8292484584939
219600,297.56069697880463
223200,297.51328671152646
226800,297.3960017706485
230400,297.2127545878825
234000,297.0940992476123
237600,297.0200233502577
241200,296.918815002442
244800,296.8101275694035
248400,296.68682757005496
252000,296.5599502117773
255600,296.43357827697383
259200,296.29694459636306
