time,qr
0,503.89377000773885
3600,532.359753365114
7200,563.5759419354371
10800,634.5120835105631
14400,850.1657114095775
18000,1389.5766471653749
21600,989.6285960886687
25200,56.46125729301241
28800,188.63514576476675
32400,-69.4883716936834
36000,-56.566605040339404
39600,-60.862939346585584
43200,-128.15251355855665
46800,-169.97038256576383
50400,-193.68107180606722
54000,-156.42012273620793
57600,-202.64874490269807
61200,-218.17035012349024
64800,-220.05410871297642
68400,-228.49642217077354
72000,-232.5974867010966
75600,-232.27701574873456
79200,-231.1780968906237
82800,-248.15283374464485
86400,8.875030933877733
90000,18.26834259287738
93600,33.3893385585054
97200,64.45335835089385
100800,92.71677314161558
104400,345.3527306192885
108000,1107.8250663991103
111600,1999.9999999999325
115200,-792.2363301772017
118800,-1175.8454930825214
122400,-1999.9999999999966
126000,-1999.9999999999734
129600,-1999.9999999999998
133200,-1999.9999999919248
136800,-2000.0
140400,-1115.3861677915977
144000,-149.4376928667767
147600,-175.72465161568346
151200,-196.7694037792357
154800,-203.51355258890626
158400,-210.66566654838576
162000,-210.0438883006791
165600,-208.7127712621663
169200,-218.33945820690656
172800,-224.3251794984865
176400,-572.4997177569319
180000,-891.3646531323299
183600,-920.1197701193727
187200,-947.8314419499885
190800,-859.3165351041696
194400,-552.680175003833
198000,371.61082877947814
201600,-1457.92833566981
205200,-1999.9999999999566
208800,-2000.0
212400,-1999.9999999998622
216000,-1999.9999999999995
219600,-2000.0
223200,-1999.9999999999998
226800,-1999.9999999997042
230400,-116.86813058787463
234000,-159.17764315594547
237600,-159.17764315594547
241200,-168.79567923737312
244800,-180.74751580576427
248400,-186.42112662052284
252000,-195.38028658086037
255600,-205.5274559096271
259200,-217.22352564635696
